Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.959	10186	0.999	278.479	2.734%	41.132	3.492%	0.00086	0.997
SP.Syn.Abst.960	4611	1.0	25.036	0.543%	3.096	0.579%	3e-05	1.0
SP.Syn.Abst.961	18137	1.0	32.369	0.178%	4.125	0.196%	0.0	1.0
SP.Syn.Abst.962	7252	0.999	249.034	3.434%	36.756	4.154%	0.00119	0.997
SP.Syn.Abst.963	14044	0.998	639.575	4.554%	93.355	5.752%	0.00253	0.993
SP.Syn.Abst.964	17310	0.999	508.04	2.935%	75.229	3.662%	0.00094	0.997
SP.Syn.Abst.965	15626	0.999	502.581	3.216%	74.175	4.064%	0.00131	0.997
SP.Syn.Abst.966	8898	1.0	124.557	1.4%	18.307	1.771%	0.00033	0.999
SP.Syn.Abst.967	12549	0.998	630.405	5.024%	92.725	6.239%	0.00299	0.993
SP.Syn.Abst.968	6713	0.999	214.201	3.191%	31.017	3.966%	0.00105	0.997
SP.Syn.Abst.969	10907	1.0	63.202	0.579%	8.997	0.707%	4e-05	1.0
SP.Syn.Abst.970	8628	0.993	808.61	9.372%	119.263	11.74%	0.00838	0.973
SP.Syn.Abst.971	16045	1.0	105.518	0.658%	15.27	0.817%	5e-05	1.0
SP.Syn.Abst.972	3438	0.999	91.829	2.671%	13.354	3.208%	0.00068	0.998
SP.Syn.Abst.973	12551	1.0	171.229	1.364%	25.128	1.71%	0.0002	0.999
SP.Syn.Abst.974	6326	1.0	27.54	0.435%	3.28	0.446%	2e-05	1.0
SP.Syn.Abst.975	5179	1.0	123.187	2.379%	17.795	2.962%	0.00065	0.998
SP.Syn.Abst.976	11626	0.999	501.761	4.316%	73.808	5.363%	0.00184	0.995
SP.Syn.Abst.977	9899	1.0	237.992	2.404%	34.653	3.014%	0.00077	0.998
SP.Syn.Abst.978	8466	0.999	283.356	3.347%	42.328	4.313%	0.00129	0.996
SP.Syn.Abst.979	16286	1.0	347.604	2.134%	51.104	2.652%	0.00048	0.999
SP.Syn.Abst.980	10226	1.0	135.417	1.324%	19.532	1.647%	0.00022	0.999
SP.Syn.Abst.981	8257	0.999	350.092	4.24%	51.628	5.379%	0.00195	0.994
SP.Syn.Abst.982	9551	1.0	24.338	0.255%	3.032	0.273%	1e-05	1.0
SP.Syn.Abst.983	12943	1.0	156.964	1.213%	23.294	1.551%	0.00023	0.999
SP.Syn.Abst.984	8880	1.0	120.774	1.36%	17.305	1.683%	0.00023	0.999
SP.Syn.Abst.985	13976	0.999	423.829	3.033%	62.658	3.85%	0.00123	0.997
SP.Syn.Abst.986	8845	0.999	243.208	2.75%	35.604	3.415%	0.00086	0.998
SP.Syn.Abst.987	13912	1.0	300.481	2.16%	44.085	2.723%	0.00058	0.998
SP.Syn.Abst.988	9727	1.0	163.286	1.679%	23.501	2.088%	0.00033	0.999
SP.Syn.Abst.989	4195	1.0	85.796	2.045%	12.204	2.489%	0.00068	0.999
SP.Syn.Abst.990	12899	1.0	60.454	0.469%	8.221	0.55%	3e-05	1.0
SP.Syn.Abst.991	9193	1.0	148.264	1.613%	21.494	2.008%	0.00029	0.999
SP.Syn.Abst.992	5192	1.0	89.399	1.722%	12.194	2.026%	0.0003	0.999
SP.Syn.Abst.993	8479	1.0	112.059	1.322%	16.386	1.641%	0.00019	0.999
SP.Syn.Abst.994	10697	1.0	95.18	0.89%	13.891	1.116%	9e-05	1.0
SP.Syn.Abst.995	7515	1.0	164.254	2.186%	23.656	2.698%	0.00059	0.999
SP.Syn.Abst.996	11973	1.0	294.923	2.463%	43.445	3.104%	0.00073	0.998
SP.Syn.Abst.997	7315	0.999	187.58	2.564%	27.189	3.202%	0.00073	0.998
SP.Syn.Abst.998	7114	1.0	79.486	1.117%	11.02	1.318%	0.00013	1.0
SP.Syn.Abst.999	7454	0.991	778.872	10.449%	115.162	13.261%	0.01085	0.963
SP.Syn.Abst.1000	10337	1.0	31.071	0.301%	4.054	0.338%	1e-05	1.0
