Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD51721	6399	0.972	82316736.0	1286400.0%	6464947.322	1296377.437%	0.04474	0.935
PD51722	4132	0.966	19757564.0	478159.826%	1531725.28	463152.308%	0.05773	0.925
PD51723	4757	0.961	31282034.0	657600.042%	2503853.523	655668.005%	1000.0	0.915
PD51724	2333	0.935	12364902.0	530000.086%	1033770.196	520245.025%	1000.0	0.874
PD51725	4151	0.96	22000310.0	530000.241%	1839344.779	541980.964%	1000.0	0.919
PD51726	3952	0.888	20945612.0	530000.304%	1751150.143	476934.905%	1000.0	0.805
PD51727	3922	0.958	20786602.0	530000.051%	1737878.841	551382.586%	1000.0	0.914
PD51728	4366	0.966	19126899.0	438087.471%	1465033.569	439599.318%	0.0542	0.917
PD51729	14333	0.955	61359645.0	428100.502%	4917243.395	416495.597%	1000.0	0.905
PD51730	4562	0.969	22406792.0	491161.596%	1782055.44	471915.774%	1000.0	0.936
PD51732	7955	0.97	102333120.0	1286400.0%	8036973.583	1274030.788%	0.0424	0.933
PD51733	4542	0.961	24072608.0	530000.176%	2012570.35	500314.424%	1000.0	0.929
PD51734	5830	0.966	24958258.0	428100.48%	2000096.522	412251.729%	1000.0	0.93
PD51735	3122	0.907	13961592.0	447200.256%	1065251.501	439384.52%	1000.0	0.776
PD51736	5772	0.968	30591606.0	530000.104%	2557616.838	537563.638%	1000.0	0.935
PD51737	8420	0.976	40555332.0	481654.774%	3199180.442	480135.569%	1000.0	0.947
PD51740	4968	0.963	32669570.0	657600.04%	2614914.167	658082.172%	1000.0	0.92
PD51742	5866	0.968	38574816.0	657600.0%	3087559.253	635028.771%	0.06165	0.934
PD51743	5312	0.97	34931720.0	657600.151%	2795990.131	681280.424%	1000.0	0.934
PD51744	6246	0.978	30406042.0	486808.229%	2408601.732	500349.953%	1000.0	0.949
PD51745	8507	0.966	45087106.0	530000.071%	3769513.132	534441.905%	1000.0	0.932
PD51746	4343	0.951	23017908.0	530000.184%	1924417.783	530920.842%	1000.0	0.903
PD51747	4339	0.962	22996708.0	530000.184%	1922642.388	532469.443%	1000.0	0.924
PD51748	7560	0.975	60210932.0	796440.899%	4778560.714	788926.008%	0.04024	0.945
PD51749	5893	0.94	25227965.0	428100.543%	2021738.382	426746.52%	1000.0	0.869
PD51750	6462	0.966	49331216.0	763404.766%	3926361.598	746902.137%	0.04665	0.926
PD51754	4932	0.968	63445248.0	1286400.0%	4982831.297	1300251.546%	0.05194	0.925
PD51766	7383	0.965	48550616.0	657600.108%	3886050.77	656827.751%	1000.0	0.924
PD51767	6280	0.958	26884712.0	428100.51%	2154502.56	429722.966%	1000.0	0.907
PD51768	3613	0.956	17513262.0	484729.089%	1384844.506	453453.076%	1000.0	0.913
PD51769	2718	0.937	14405404.0	530000.147%	1204378.243	551065.807%	1000.0	0.872
PD51770	6774	0.932	87140736.0	1286400.0%	6843793.423	1199503.123%	0.0926	0.861
PD51771	9298	0.983	70798980.0	761443.106%	5636083.63	756117.475%	0.02688	0.964
PD51772	7147	0.969	46998678.0	657600.084%	3761816.214	641187.728%	1000.0	0.935
PD51773	5104	0.96	27051206.0	530000.118%	2261605.38	513489.579%	1000.0	0.923
PD51774	3135	0.95	13420945.0	428100.319%	1075521.788	402450.369%	1000.0	0.901
PD51775	6518	0.958	42862374.0	657600.092%	3430776.84	678830.925%	1000.0	0.907
PD51777	5550	0.965	29415006.0	530000.108%	2459253.891	544739.028%	1000.0	0.93
PD51778	3692	0.969	17495973.0	473888.759%	1409937.963	455193.048%	0.05696	0.938
PD51779	4356	0.968	27291320.0	626522.498%	2275547.901	620586.535%	0.0635	0.937
PD51780	10244	0.972	226177276.0	2207900.0%	30211813.395	2337685.34%	0.04727	0.965
PD51781	33073	0.89	261983993.0	792138.581%	23571636.248	709937.615%	0.19559	0.827
PD51782	6547	0.958	144551213.0	2207900.0%	19308610.619	2506198.23%	0.08208	0.949
PD51783	11763	0.975	141482188.0	1202773.0%	16085301.859	1199651.955%	0.03646	0.966
PD51784	6915	0.978	43075926.0	622934.577%	3603487.851	595567.388%	1000.0	0.96
PD51785	5018	0.965	26595404.0	530000.08%	2223491.61	508051.831%	1000.0	0.935
PD51786	8163	0.973	39600138.0	485117.457%	3132362.585	472115.75%	1000.0	0.943
PD51788	4570	0.971	26922070.0	589104.376%	2210390.705	604184.517%	0.04996	0.94
PD51791	4988	0.969	23840620.0	477959.503%	1847910.657	478598.439%	0.05509	0.927
PD51793	7094	0.98	34215579.0	482317.155%	2700422.465	482908.66%	1000.0	0.955
PD51794	4910	0.97	23251320.0	473550.305%	1873468.427	459211.025%	0.05238	0.939
PD51801	4841	0.972	31834420.0	657600.083%	2548058.782	648987.406%	1000.0	0.941
