Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.737	9794	0.999	370.587	3.784%	53.893	4.731%	0.00245	0.995
SP.Syn.Abst.738	7354	1.0	23.596	0.321%	2.821	0.331%	1e-05	1.0
SP.Syn.Abst.739	14807	1.0	25.164	0.17%	2.945	0.172%	0.0	1.0
SP.Syn.Abst.740	10816	1.0	21.8	0.202%	2.576	0.202%	0.0	1.0
SP.Syn.Abst.741	6369	1.0	146.705	2.303%	20.761	2.789%	0.00095	0.998
SP.Syn.Abst.742	7296	1.0	24.294	0.333%	2.893	0.343%	1e-05	1.0
SP.Syn.Abst.743	11430	0.999	376.695	3.296%	53.975	4.074%	0.0018	0.997
SP.Syn.Abst.744	15523	1.0	23.185	0.149%	2.777	0.152%	0.0	1.0
SP.Syn.Abst.745	10628	1.0	21.709	0.204%	2.626	0.211%	0.0	1.0
SP.Syn.Abst.746	14774	1.0	118.933	0.805%	16.909	0.963%	0.00017	1.0
SP.Syn.Abst.747	8635	1.0	22.889	0.265%	2.781	0.274%	1e-05	1.0
SP.Syn.Abst.748	8854	0.999	351.796	3.973%	50.755	4.895%	0.00264	0.995
SP.Syn.Abst.749	4412	1.0	23.27	0.527%	2.772	0.542%	4e-05	1.0
SP.Syn.Abst.750	7843	1.0	23.685	0.302%	2.872	0.31%	1e-05	1.0
SP.Syn.Abst.751	7235	1.0	22.245	0.307%	2.669	0.318%	1e-05	1.0
SP.Syn.Abst.752	5502	1.0	24.428	0.444%	2.835	0.443%	2e-05	1.0
SP.Syn.Abst.753	7049	0.999	189.087	2.682%	27.147	3.321%	0.0012	0.998
SP.Syn.Abst.754	15754	1.0	157.968	1.003%	22.559	1.233%	0.00017	1.0
SP.Syn.Abst.755	10871	0.999	428.025	3.937%	61.843	4.804%	0.0029	0.996
SP.Syn.Abst.756	10824	1.0	22.965	0.212%	2.742	0.218%	0.0	1.0
SP.Syn.Abst.757	4938	0.999	207.385	4.2%	29.77	5.197%	0.00269	0.994
SP.Syn.Abst.758	7273	1.0	22.213	0.305%	2.674	0.31%	1e-05	1.0
SP.Syn.Abst.759	11756	1.0	22.987	0.196%	2.719	0.2%	0.0	1.0
SP.Syn.Abst.760	2776	1.0	22.597	0.814%	2.709	0.806%	9e-05	1.0
SP.Syn.Abst.761	14949	1.0	25.069	0.168%	2.882	0.166%	0.0	1.0
SP.Syn.Abst.762	16225	1.0	58.763	0.362%	8.226	0.436%	2e-05	1.0
SP.Syn.Abst.763	12836	0.999	456.426	3.556%	66.396	4.449%	0.00217	0.996
SP.Syn.Abst.764	2927	1.0	25.43	0.869%	2.994	0.835%	0.00011	1.0
SP.Syn.Abst.765	10875	0.999	330.225	3.037%	47.096	3.701%	0.00158	0.997
SP.Syn.Abst.766	8262	1.0	24.237	0.293%	2.788	0.288%	1e-05	1.0
SP.Syn.Abst.767	5951	1.0	21.718	0.365%	2.621	0.369%	2e-05	1.0
SP.Syn.Abst.768	9670	1.0	23.874	0.247%	2.775	0.244%	1e-05	1.0
SP.Syn.Abst.769	7941	1.0	110.004	1.385%	15.688	1.688%	0.00044	0.999
SP.Syn.Abst.770	8667	1.0	21.142	0.244%	2.621	0.255%	1e-05	1.0
SP.Syn.Abst.771	17743	1.0	159.232	0.897%	22.648	1.082%	0.00018	1.0
SP.Syn.Abst.772	6432	0.999	241.66	3.757%	34.724	4.575%	0.0026	0.996
SP.Syn.Abst.773	12174	1.0	23.414	0.192%	2.82	0.2%	0.0	1.0
SP.Syn.Abst.774	7811	1.0	23.755	0.304%	2.795	0.307%	1e-05	1.0
SP.Syn.Abst.775	10088	1.0	24.735	0.245%	2.934	0.245%	1e-05	1.0
SP.Syn.Abst.776	7167	0.999	308.287	4.301%	44.344	5.316%	0.00295	0.994
SP.Syn.Abst.777	4813	0.999	133.232	2.768%	19.248	3.452%	0.00136	0.998
SP.Syn.Abst.778	12002	1.0	148.304	1.236%	21.579	1.55%	0.00029	0.999
SP.Syn.Abst.779	6364	0.999	272.813	4.287%	39.03	5.282%	0.00286	0.994
SP.Syn.Abst.780	11954	1.0	261.915	2.191%	37.456	2.703%	0.00085	0.998
SP.Syn.Abst.781	27628	1.0	22.441	0.081%	2.683	0.082%	0.0	1.0
SP.Syn.Abst.782	6154	1.0	24.164	0.393%	2.83	0.386%	2e-05	1.0
SP.Syn.Abst.783	15248	1.0	23.033	0.151%	2.771	0.157%	0.0	1.0
SP.Syn.Abst.784	9620	1.0	24.703	0.257%	2.869	0.254%	1e-05	1.0
SP.Syn.Abst.785	12341	1.0	279.519	2.265%	40.05	2.703%	0.0013	0.999
SP.Syn.Abst.786	10647	0.999	404.343	3.798%	58.616	4.757%	0.00233	0.995
SP.Syn.Abst.787	6877	1.0	103.581	1.506%	14.987	1.829%	0.0005	0.999
SP.Syn.Abst.788	13102	0.999	338.315	2.582%	48.871	3.219%	0.00115	0.998
SP.Syn.Abst.789	16930	1.0	100.781	0.595%	14.639	0.738%	7e-05	1.0
SP.Syn.Abst.790	4600	1.0	23.003	0.5%	2.751	0.494%	3e-05	1.0
SP.Syn.Abst.791	11056	1.0	20.103	0.182%	2.567	0.201%	0.0	1.0
SP.Syn.Abst.792	9501	1.0	165.305	1.74%	23.839	2.164%	0.00056	0.999
SP.Syn.Abst.793	15880	1.0	406.093	2.557%	58.921	3.095%	0.00152	0.998
SP.Syn.Abst.794	12868	1.0	125.676	0.977%	18.255	1.221%	0.00017	1.0
SP.Syn.Abst.795	13866	1.0	23.701	0.171%	2.84	0.177%	0.0	1.0
SP.Syn.Abst.796	16468	1.0	25.5	0.155%	2.943	0.154%	0.0	1.0
SP.Syn.Abst.797	5981	1.0	21.009	0.351%	2.601	0.375%	2e-05	1.0
SP.Syn.Abst.798	12287	1.0	24.478	0.199%	2.862	0.199%	0.0	1.0
SP.Syn.Abst.799	5696	1.0	26.179	0.46%	3.065	0.441%	2e-05	1.0
SP.Syn.Abst.800	11245	1.0	22.758	0.202%	2.703	0.203%	1e-05	1.0
SP.Syn.Abst.801	5807	0.999	196.801	3.389%	28.835	4.288%	0.0018	0.996
SP.Syn.Abst.802	7642	0.999	200.082	2.618%	28.842	3.222%	0.00117	0.998
SP.Syn.Abst.803	8100	0.999	337.111	4.162%	48.663	5.154%	0.00285	0.995
SP.Syn.Abst.804	7775	0.999	235.753	3.032%	34.369	3.816%	0.00149	0.997
SP.Syn.Abst.805	7098	1.0	146.727	2.067%	21.098	2.53%	0.00086	0.999
SP.Syn.Abst.806	15927	1.0	320.044	2.009%	46.622	2.494%	0.0008	0.999
SP.Syn.Abst.807	10030	1.0	26.191	0.261%	3.049	0.263%	1e-05	1.0
