Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
2:Ins:R:1	7.88E-06	0.000271665	0.002242683	0.000553302	0.018387642	0.000208533	0.000397626	0.001661816	0.002100192	0.038908392	9.08E-18	0.001062301	0.001801368	0.000123773	6.58E-18	0.001087848	0.058508649	1.00E-18	0.02359708	0.000609208	0.005076259	0.030684627	0.00326139
2:Ins:R:2	0.000221347	0.001035341	0.000955604	0.000266335	0.007207952	0.000790414	7.01E-05	0.000304586	0.000760941	0.026205652	0.000247885	0.000550238	0.000688524	0.001114199	6.58E-18	0.000729932	0.063694193	1.00E-18	0.003639604	0.002345574	0.000222987	0.008888139	0.00154666
2:Ins:R:3	0.000514268	0.000381326	0.000897238	0.000137794	0.001172292	0.000499074	0.003147039	0.000177583	0.000351635	0.00028006	0.000372356	0.000165525	0.000743544	0.000871483	6.58E-18	9.48E-05	0.009762713	0.002004016	0.001183172	0.000374507	0.001080992	0.005774136	0.00024006
2:Ins:R:4	0.0029131	0.001977423	0.000253085	7.19E-05	6.88E-05	0.000189469	0.00182828	1.66E-05	3.07E-05	8.42E-18	0.000442384	0.001018206	0.000213354	0.002973978	6.58E-18	0.000131664	3.84E-09	1.00E-18	0.003802592	1.02E-08	0.001769329	0.000922912	0.00022169
2:Ins:R:5	0.018121584	0.013633376	6.67E-06	0.000103689	0.000994122	0.000748642	0.00024477	0.001764384	5.41E-18	8.42E-18	0.000288801	0.038005197	0.000846575	0.000544275	6.58E-18	1.18E-06	4.64E-08	0.002004016	0.033275223	0.00103185	0.014259815	0.001554575	0.00000259
3:Ins:R:0	3.06E-07	5.78E-05	9.60E-05	2.63E-05	0.003792478	0.001219185	1.00E-18	0.000667863	0.000254573	0.018103905	9.08E-18	0.01515014	8.21E-05	0.006623497	6.58E-18	0.000570589	0.019583137	0.004008032	0.05448195	9.66E-09	0.001592806	0.08662352	0.00077334
3:Ins:R:1	0.000254695	0.00122705	0.000286144	0.000450983	0.006122761	0.000288615	5.51E-06	0.000671723	0.000823355	0.055211908	0.000207083	0.000869573	0.003688328	0.0025232	6.58E-18	0.001092184	0.112273274	1.00E-18	0.005101451	0.000529852	1.15E-06	0.231492523	0.00152975
3:Ins:R:2	4.41E-05	0.000210075	9.75E-05	0.000600335	0.001143468	0.000746533	5.47E-05	0.000135768	0.000118261	0.009432034	0.000221526	0.000183891	0.000202511	0.000204501	6.58E-18	0.000281271	0.038874479	1.00E-18	0.001262601	1.34E-08	0.001417047	0.011918844	0.00004958
3:Ins:R:3	0.000166702	3.02E-06	1.36E-05	7.42E-05	1.02E-05	0.000249737	0.000177833	3.79E-05	5.18E-06	0.000461099	2.18E-05	8.70E-05	2.37E-05	0.000327493	6.58E-18	3.18E-05	1.39E-08	1.00E-18	0.000566956	2.05E-08	5.85E-05	0.000155001	0.00004653
3:Ins:R:4	8.89E-05	0.000141807	1.56E-06	7.40E-05	1.18E-05	0.000155952	0.000415609	0.000122041	1.61E-05	0.00018704	9.08E-18	0.000340788	3.49E-06	0.00060186	6.58E-18	7.56E-05	2.84E-08	1.00E-18	0.000201184	2.28E-08	0.000149896	1.42E-05	0.00001575
3:Ins:R:5	0.001248696	0.001864707	4.12E-18	3.96E-05	0.000102574	1.98E-05	0.000769276	3.66E-05	5.41E-18	0.00018504	9.01E-05	0.002840312	3.54E-05	0.002205997	6.58E-18	2.29E-05	2.78E-08	1.00E-18	0.00101487	1.70E-08	0.000743075	2.80E-05	0.00001267
4:Ins:R:0	3.31E-18	1.68E-05	4.12E-18	0.000166645	0.002439186	0.001467917	1.00E-18	0.000777758	0.000164387	0.016003452	0.000159621	0.005701178	0.001118797	0.00594693	6.58E-18	0.00032756	0.014692452	1.00E-18	0.049751651	1.48E-08	6.49E-06	0.212742408	0.00052016
4:Ins:R:1	0.000744381	0.001203728	0.000175982	0.001266435	0.003612298	0.000476283	2.61E-05	0.001103901	0.000715565	0.074616092	0.000377636	0.001908886	0.002691635	0.001326926	6.58E-18	0.001506978	0.210245111	0.002004016	0.001479678	0.000378074	0.000508317	0.217852954	0.00136458
4:Ins:R:2	7.55E-05	1.22E-05	2.74E-05	9.84E-05	0.000376459	0.000528663	0.000194817	7.99E-05	4.24E-05	0.004090882	9.08E-18	0.00021849	6.93E-05	8.45E-05	6.58E-18	4.50E-05	0.009749097	1.00E-18	0.001017378	1.53E-08	0.000663976	0.0036275	0.0003998
4:Ins:R:3	0.000157544	0.000134169	4.77E-05	5.25E-05	1.87E-06	0.000334824	0.000273742	8.58E-06	2.15E-05	0.000239052	9.08E-18	0.000176569	6.39E-07	0.000713852	1.36E-06	3.02E-07	1.86E-08	1.00E-18	0.000309935	2.04E-08	0.000335185	2.39E-05	0.00000479
4:Ins:R:4	0.000319653	0.000249385	4.18E-06	0.000146911	6.41E-06	5.60E-05	0.000258757	0.000205515	5.41E-18	0.002280492	9.08E-18	0.000636053	1.21E-05	0.00166501	1.45E-06	9.40E-06	9.68E-09	1.00E-18	0.001528572	1.45E-08	0.000322588	5.71E-06	0.00003082
4:Ins:R:5	0.00100132	0.002193545	3.29E-05	0.000135205	0.000635977	0.000106861	8.74E-06	0.000885225	2.18E-06	0.013802977	9.08E-18	0.011670537	3.14E-07	0.000274449	6.58E-18	2.66E-18	1.17E-08	1.00E-18	1.22E-07	2.60E-08	0.00056024	0.000180119	0.00000719
5:Ins:R:0	3.31E-18	3.95E-18	8.83E-05	8.58E-05	0.004750071	0.008716781	1.00E-18	0.000318329	0.000165846	0.049210613	0.00066606	0.013790645	0.002590231	0.002712141	6.58E-18	0.001172587	0.014673882	0.012024096	0.336651799	0.000906095	0.004929548	0.014950647	0.00072143
5:Ins:R:1	0.001443126	0.000135658	0.00065622	0.002135852	0.004793431	0.005405643	1.00E-18	0.009761114	0.001253996	0.278059972	0.00115191	0.003834265	0.013501952	0.026455525	6.58E-18	0.001101192	0.004919532	0.002004016	0.008432312	0.003178667	0.01709467	0.004733335	0.00229238
5:Ins:R:2	0.000254832	5.53E-06	5.51E-06	0.000222027	0.000298796	0.001321843	8.84E-06	0.000101153	0.000102849	0.009221989	0.000366007	0.002130016	4.59E-05	0.000488313	1.18E-06	8.28E-07	4.64E-08	1.00E-18	0.000246442	3.15E-09	0.000693116	1.81E-05	0.00021296
5:Ins:R:3	0.000237087	9.77E-05	3.32E-05	7.59E-06	0.000165546	2.88E-05	4.46E-06	7.09E-05	8.02E-05	0.003660789	8.34E-07	0.002660489	4.61E-05	0.000103831	1.62E-06	2.66E-18	4.76E-08	1.00E-18	0.001737586	2.11E-08	0.00015937	0.000195338	0.00000302
5:Ins:R:4	0.000261865	2.15E-06	7.87E-06	2.53E-05	0.000126707	4.83E-05	1.06E-05	6.74E-06	5.05E-05	0.00334072	2.25E-06	0.001592407	2.43E-06	0.000157593	6.58E-18	2.66E-18	3.96E-08	1.00E-18	0.000165085	2.69E-08	2.51E-05	1.51E-06	0.00005035
5:Ins:R:5	0.000119834	0.000115629	3.48E-06	0.000160229	0.000626342	6.17E-05	4.28E-06	0.000190551	9.89E-06	0.002740591	1.84E-06	0.00613607	4.33E-05	2.15E-05	6.58E-18	2.65E-18	4.48E-08	1.00E-18	2.24E-06	3.09E-08	7.07E-06	3.42E-05	0.0000026
2:Del:M:1	0.001197815	0.000175553	0.006930764	0.188997489	0.028687946	0.000632866	0.003127058	0.004913672	0.003900972	0.000638138	0.000382064	0.002653503	0.008872408	0.002640925	6.58E-18	0.001374201	0.003668966	0.018036144	0.002361922	0.001885514	0.01183853	0.001744942	0.03953384
3:Del:M:1	8.19E-05	5.46E-07	0.000344612	0.007034156	0.013157147	0.000990097	0.00025476	0.009290337	0.003011328	0.003960854	0.000200443	0.010328352	0.001140083	0.001575173	6.58E-18	0.00076447	0.004887304	1.00E-18	0.000142903	0.00051866	0.016456594	0.003256536	0.00210806
3:Del:M:2	0.001479593	0.002944063	0.00030285	0.049416601	0.00900421	0.00443363	0.004635639	0.004302693	0.001543302	0.019304164	0.000301744	0.006061158	0.000450306	0.003236935	6.58E-18	0.000980364	0.003681076	1.00E-18	0.001188445	0.000572256	0.076342425	0.001382468	0.00445127
4:Del:M:1	8.38E-05	0.000147005	7.35E-05	0.010981719	0.008732202	0.002745395	0.000183827	0.005809551	0.001927721	0.000179039	9.08E-18	0.003771718	0.001270798	8.20E-06	6.58E-18	0.000504718	0.010979731	0.006012048	0.001230367	0.000443206	0.021683163	0.003828183	0.00334573
4:Del:M:2	0.000145479	0.000550614	0.000340216	0.029483877	0.006047187	0.00868271	0.001019041	0.001591587	0.003297448	0.000387083	9.08E-18	0.004573153	0.000159723	0.000950493	6.58E-18	0.0004098	0.004890442	1.00E-18	0.00011789	0.000510533	0.055939003	0.001748172	0.00271152
4:Del:M:3	0.000160684	0.000693566	0.000130463	0.04886664	0.003442442	0.004773094	0.000717325	0.001098342	0.002544079	8.22E-05	0.000789868	0.000525263	0.000270578	0.002230434	6.58E-18	0.000402368	0.003659617	1.00E-18	0.000412019	0.000464372	0.078494647	0.00012253	0.00175756
5:Del:M:1	8.16E-07	0.000624963	0.001369634	0.000453121	0.008617073	0.071066579	2.36E-05	0.28072426	3.54E-05	0.001330287	0.000282794	0.000563378	0.011740777	0.006551706	0.000660877	0.005362049	0.020771328	0.030060241	7.27E-05	0.002936567	0.000651791	0.0015615	0.01006779
5:Del:M:2	2.38E-10	0.000117708	0.001751272	0.000136232	0.007851021	0.253108348	0.000245769	0.123610163	0.000221236	0.000124027	0.000372771	1.42E-17	0.007055421	0.004498634	0.000432409	0.005021715	0.012290058	0.022044176	0.000690739	0.003399086	3.07E-05	0.000334283	0.00828299
5:Del:M:3	2.33E-12	5.67E-05	0.000774958	0.001112236	0.007157975	0.216806033	6.16E-05	0.046130408	0.000570907	5.65E-05	0.000750127	0.000323568	0.002165984	0.001404487	0.000266126	0.00333884	0.008596258	0.006012048	0.000617644	0.001452413	0.000222529	0.001072803	0.00336542
5:Del:M:4	3.88E-05	0.000462842	0.000640555	0.003652946	0.002492549	0.120483943	6.82E-05	0.016367256	0.000448308	0.000104022	0.000130278	0.000277663	0.000281736	0.000100143	0.000247928	0.001329897	0.004897913	0.004008032	5.32E-05	0.001219253	0.003589866	8.76E-05	0.00213513
5:Del:M:5	0.000665116	0.002367319	0.00036297	4.56E-05	0.001112367	0.099282999	0.001738365	0.012814882	5.41E-18	0.041408931	0.000518955	0.006657973	0.013131907	0.000931512	0.000139829	0.001601629	0.006075636	1.00E-18	0.003317459	1.83E-09	0.003415398	0.001031553	0.00074925
