NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
429	2207.322	41.953	81.558	40.345	0.18	0.821	80000.0
430	2207.116	42.071	80.861	40.431	0.181	0.819	80000.0
431	2208.189	41.955	81.578	40.343	0.18	0.821	110000.0
432	2206.644	42.062	80.848	40.437	0.181	0.819	90000.0
433	2207.439	42.07	80.88	40.442	0.181	0.819	90000.0
434	2207.353	42.07	80.885	40.442	0.181	0.819	100000.0
435	2207.097	41.959	81.516	40.346	0.18	0.821	60000.0
436	2207.195	42.067	80.884	40.437	0.181	0.819	70000.0
437	2207.165	42.07	80.888	40.44	0.181	0.819	100000.0
438	2207.276	42.067	80.891	40.439	0.181	0.819	70000.0
439	2207.172	42.07	80.865	40.435	0.181	0.819	120000.0
440	2206.566	41.945	81.551	40.345	0.18	0.821	80000.0
441	2207.249	42.071	80.882	40.444	0.181	0.819	90000.0
442	2207.29	42.069	80.911	40.444	0.181	0.819	90000.0
443	2207.032	41.945	81.558	40.344	0.18	0.821	70000.0
444	2207.226	41.947	81.539	40.338	0.18	0.821	140000.0
445	2207.474	42.076	80.886	40.442	0.181	0.819	70000.0
446	2206.806	42.071	80.867	40.447	0.181	0.819	60000.0
447	2207.005	42.071	80.888	40.448	0.181	0.819	100000.0
448	2207.795	42.073	80.919	40.445	0.181	0.819	130000.0
449	2206.779	41.947	81.54	40.339	0.18	0.821	90000.0
450	2207.535	41.949	81.571	40.345	0.18	0.821	120000.0
451	2207.229	42.064	80.902	40.432	0.181	0.819	90000.0
452	2207.352	42.075	80.881	40.445	0.181	0.819	90000.0
453	2207.116	42.071	80.866	40.444	0.181	0.819	80000.0
454	2207.576	41.952	81.561	40.343	0.18	0.821	80000.0
455	2206.945	42.075	80.872	40.448	0.181	0.819	90000.0
456	2207.219	42.074	80.866	40.443	1.23	0.819	120000.0
457	2207.246	42.07	80.86	40.432	0.181	0.819	60000.0
458	2207.117	42.063	80.887	40.432	0.181	0.819	90000.0
459	2206.98	42.065	80.872	40.44	0.181	0.819	70000.0
460	2207.34	42.078	80.876	40.449	0.181	0.819	90000.0
461	2207.487	42.074	80.886	40.443	0.181	0.819	90000.0
462	2207.198	41.948	81.552	40.337	0.18	0.822	110000.0
463	2206.815	42.07	80.867	40.44	1.23	0.819	50000.0
464	2207.64	41.955	81.566	40.346	0.18	0.821	100000.0
465	2207.126	42.07	80.863	40.44	0.181	0.819	120000.0
466	2207.452	41.948	81.563	40.342	0.18	0.821	90000.0
467	2207.668	41.965	81.543	40.344	0.18	0.821	120000.0
468	2207.176	42.073	80.892	40.449	0.181	0.819	120000.0
469	2207.079	42.068	80.849	40.44	0.181	0.819	90000.0
470	2206.755	42.068	80.853	40.437	0.181	0.819	100000.0
471	2207.153	42.069	80.862	40.442	0.181	0.819	80000.0
472	2207.022	42.063	80.877	40.434	0.181	0.819	80000.0
473	2207.384	42.077	80.881	40.441	0.181	0.819	80000.0
474	2206.996	42.069	80.888	40.447	0.181	0.819	50000.0
475	2207.226	42.07	80.896	40.444	0.181	0.819	80000.0
476	2207.265	41.952	81.548	40.344	0.18	0.821	110000.0
477	2207.595	41.953	81.589	40.352	0.18	0.821	130000.0
478	2207.365	41.948	81.581	40.341	0.18	0.821	70000.0
479	2207.553	42.07	80.891	40.444	0.181	0.819	80000.0
480	2206.993	41.947	81.535	40.337	0.18	0.822	80000.0
481	2207.431	42.064	80.91	40.44	0.181	0.819	70000.0
482	2207.555	42.067	80.9	40.437	0.181	0.819	130000.0
483	2206.881	42.066	80.875	40.437	0.181	0.819	80000.0
484	2207.236	41.95	81.55	40.352	0.18	0.821	150000.0
485	2207.127	42.07	80.882	40.444	0.181	0.819	110000.0
486	2207.435	41.96	81.538	40.35	0.18	0.821	110000.0
487	2207.091	41.946	81.561	40.335	0.18	0.822	80000.0
488	2207.538	41.96	81.54	40.349	0.18	0.821	80000.0
489	2207.485	42.073	80.89	40.442	0.181	0.819	50000.0
490	2207.093	42.067	80.856	40.43	0.181	0.819	100000.0
491	2207.004	42.062	80.888	40.432	0.181	0.819	90000.0
492	2207.581	42.068	80.871	40.436	0.181	0.819	80000.0
493	2207.038	42.071	80.874	40.441	0.181	0.819	140000.0
494	2207.275	41.953	81.547	40.338	0.18	0.822	70000.0
495	2207.009	42.061	80.887	40.435	0.181	0.819	70000.0
496	2207.468	42.063	80.878	40.437	0.181	0.819	70000.0
497	2206.962	42.06	80.858	40.428	0.181	0.819	140000.0
498	2208.783	41.945	81.614	40.347	0.18	0.821	60000.0
499	2207.084	42.072	80.876	40.445	0.181	0.819	80000.0
500	2207.342	42.07	80.895	40.446	0.181	0.819	70000.0
