NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
254	2207.215	42.07	80.878	40.442	0.181	0.819	80000.0
255	2208.469	41.942	81.59	40.344	0.18	0.821	90000.0
256	2207.664	42.07	80.889	40.436	0.181	0.819	90000.0
257	2207.271	42.072	80.882	40.444	0.181	0.819	110000.0
258	2206.875	42.064	80.854	40.433	0.181	0.819	80000.0
259	2207.424	42.074	80.879	40.439	0.181	0.819	130000.0
260	2207.328	42.064	80.898	40.437	0.181	0.819	70000.0
261	2207.467	41.954	81.57	40.35	0.18	0.821	70000.0
262	2207.79	41.947	81.599	40.343	0.18	0.821	100000.0
263	2207.214	42.071	80.909	40.444	0.181	0.819	80000.0
264	2207.667	42.072	80.898	40.438	0.181	0.819	50000.0
265	2206.452	42.063	80.854	40.436	0.181	0.819	70000.0
266	2207.345	41.949	81.559	40.336	0.18	0.822	80000.0
267	2207.43	42.067	80.882	40.434	0.181	0.819	90000.0
268	2207.013	42.068	80.87	40.437	0.181	0.819	90000.0
269	2207.257	42.07	80.865	40.436	0.181	0.819	100000.0
270	2208.042	41.953	81.586	40.339	0.18	0.822	90000.0
271	2207.616	41.958	81.555	40.346	0.18	0.821	80000.0
272	2207.757	42.074	80.881	40.439	0.181	0.819	60000.0
273	2207.044	42.062	80.869	40.431	0.181	0.819	120000.0
274	2207.161	42.064	80.881	40.432	0.181	0.819	110000.0
275	2207.362	42.077	80.873	40.446	0.181	0.819	90000.0
276	2207.249	42.079	80.878	40.447	0.181	0.819	50000.0
277	2206.953	42.073	80.867	40.445	0.181	0.819	70000.0
278	2207.922	41.951	81.578	40.335	0.18	0.822	80000.0
279	2206.938	42.067	80.867	40.431	0.181	0.819	120000.0
280	2207.337	42.077	80.872	40.45	0.181	0.819	110000.0
281	2206.714	42.065	80.854	40.438	0.181	0.819	70000.0
282	2207.353	42.071	80.881	40.442	0.181	0.819	100000.0
283	2206.793	41.945	81.519	40.335	0.18	0.822	80000.0
284	2206.645	42.066	80.895	40.444	0.181	0.819	100000.0
285	2206.984	41.949	81.558	40.337	0.18	0.822	70000.0
286	2207.09	42.072	80.846	40.441	0.181	0.819	90000.0
287	2206.676	42.066	80.864	40.44	0.181	0.819	70000.0
288	2206.771	41.952	81.546	40.347	0.18	0.821	90000.0
289	2207.556	42.083	80.877	40.454	0.182	0.819	90000.0
290	2207.571	42.069	80.905	40.439	1.23	0.819	80000.0
291	2207.613	42.068	80.865	40.437	0.181	0.819	80000.0
292	2207.371	41.956	81.552	40.342	0.18	0.821	110000.0
293	2207.103	42.074	80.887	40.448	0.181	0.819	90000.0
294	2207.135	42.069	80.865	40.444	0.181	0.819	70000.0
295	2206.847	42.076	80.841	40.443	0.181	0.819	90000.0
296	2207.082	42.071	80.871	40.436	0.181	0.819	90000.0
297	2206.956	41.95	81.527	40.342	0.18	0.821	90000.0
298	2206.844	41.951	81.561	40.351	0.18	0.821	80000.0
299	2207.739	41.959	81.573	40.35	0.18	0.821	100000.0
300	2207.107	42.067	80.876	40.442	0.181	0.819	100000.0
301	2207.403	42.07	80.882	40.437	0.181	0.819	90000.0
302	2207.264	42.076	80.878	40.445	0.181	0.819	80000.0
303	2207.019	42.07	80.861	40.439	0.181	0.819	60000.0
304	2207.4	42.069	80.886	40.439	1.23	0.819	60000.0
305	2207.726	41.95	81.57	40.336	0.18	0.822	110000.0
306	2207.556	41.955	81.573	40.343	0.18	0.821	100000.0
307	2207.176	41.956	81.53	40.343	0.18	0.821	90000.0
308	2207.283	42.066	80.867	40.439	0.181	0.819	90000.0
309	2206.625	42.058	80.87	40.428	0.181	0.819	70000.0
310	2206.954	42.069	80.895	40.444	1.23	0.819	80000.0
311	2206.589	42.066	80.852	40.446	0.181	0.819	130000.0
312	2207.074	42.065	80.866	40.442	0.181	0.819	110000.0
313	2207.435	41.95	81.573	40.347	0.18	0.821	110000.0
314	2207.593	42.071	80.876	40.445	0.181	0.819	120000.0
315	2207.056	41.959	81.531	40.349	0.18	0.821	70000.0
316	2207.464	41.946	81.581	40.337	0.18	0.822	80000.0
317	2208.488	41.945	81.578	40.341	0.18	0.822	90000.0
318	2207.823	41.953	81.584	40.345	0.18	0.821	80000.0
319	2207.454	41.953	81.577	40.345	0.18	0.821	120000.0
320	2207.569	42.077	80.86	40.441	0.181	0.819	90000.0
321	2207.221	41.949	81.552	40.346	0.18	0.821	100000.0
322	2206.592	42.066	80.86	40.436	0.181	0.819	70000.0
323	2206.586	42.056	80.878	40.427	1.229	0.819	90000.0
324	2207.03	42.062	80.869	40.437	0.181	0.819	90000.0
325	2206.448	42.062	80.854	40.434	0.181	0.819	70000.0
326	2207.793	41.95	81.59	40.344	0.18	0.821	160000.0
327	2207.363	42.066	80.888	40.434	0.181	0.819	150000.0
328	2207.075	41.95	81.569	40.345	0.18	0.821	100000.0
329	2206.792	42.063	80.853	40.438	0.181	0.819	90000.0
330	2207.078	41.95	81.516	40.342	0.18	0.821	160000.0
