Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD50406	4889	0.915	2045.348	41.836%	73.914	40.265%	0.17257	0.836
PD50408	5514	0.919	2167.589	39.311%	78.252	39.353%	0.15119	0.831
PD50409	6773	0.935	2409.492	35.575%	84.497	35.585%	0.12456	0.855
PD50411	4830	0.909	2087.515	43.22%	73.325	41.766%	0.18337	0.81
PD50412	6620	0.935	2361.726	35.676%	82.567	35.391%	0.12432	0.858
PD50413	5585	0.92	2245.614	40.208%	80.962	39.225%	0.15746	0.841
PD50415	5480	0.925	2189.814	39.96%	76.412	37.905%	0.15607	0.851
PD50418	4774	0.856	2379.859	49.85%	107.758	51.68%	0.23644	0.771
PD50420	13896	0.895	4736.149	34.083%	228.264	44.564%	0.10791	0.787
PD50421	6351	0.935	2265.807	35.676%	80.143	35.482%	0.12176	0.861
PD50422	5990	0.932	2217.743	37.024%	77.963	36.346%	0.13443	0.855
PD50425	6665	0.937	2364.758	35.48%	83.718	34.884%	0.12522	0.869
PD50428	3226	0.874	1706.428	52.896%	61.025	48.703%	0.26244	0.765
PD50429	6310	0.918	2432.831	38.555%	88.694	39.712%	0.14571	0.82
PD50430	4134	0.906	1795.703	43.437%	63.546	42.257%	0.18938	0.806
PD50431	4283	0.899	1913.481	44.676%	68.622	43.747%	0.1981	0.793
PD50432	2542	0.86	1416.952	55.742%	49.493	51.064%	0.30505	0.727
PD50433	2221	0.833	1367.103	61.553%	48.043	55.302%	0.36797	0.684
PD50434	2949	0.882	1508.039	51.137%	52.718	47.068%	0.26339	0.772
PD50438	7321	0.938	2524.021	34.476%	90.819	34.602%	0.11969	0.871
PD50440	4966	0.91	2124.865	42.788%	74.676	41.461%	0.17396	0.812
PD50441	18219	0.963	4723.796	25.928%	225.446	27.027%	0.06088	0.946
PD50442	6907	0.927	2623.091	37.977%	90.233	37.633%	0.13408	0.832
PD50443	5948	0.921	2358.649	39.654%	84.508	39.046%	0.14852	0.837
PD50444	6890	0.942	2391.213	34.706%	86.837	33.559%	0.1219	0.89
PD50449	4694	0.915	1942.184	41.376%	67.15	40.272%	0.17193	0.815
PD50450	3129	0.875	1639.344	52.392%	58.626	48.365%	0.26043	0.766
PD50453	7203	0.938	2553.4	35.449%	89.862	34.708%	0.12145	0.87
PD50454	2669	0.87	1465.532	54.909%	51.313	49.41%	0.2947	0.757
PD50455	3311	0.885	1678.292	50.688%	58.031	46.514%	0.25603	0.775
PD50456	3443	0.887	1702.215	49.44%	61.025	46.098%	0.23959	0.788
PD50457	5204	0.917	2143.541	41.19%	75.818	39.92%	0.16829	0.83
PD50458	2631	0.865	1453.574	55.248%	50.695	50.173%	0.29778	0.742
PD50459	6379	0.933	2348.446	36.815%	82.072	35.941%	0.1317	0.859
PD50460	3532	0.881	1749.809	49.542%	63.044	47.392%	0.24488	0.765
PD50461	2648	0.842	1568.458	59.232%	57.739	53.983%	0.3285	0.718
PD50462	6853	0.928	2503.303	36.529%	89.453	37.215%	0.12757	0.84
PD50603	8120	0.942	2748.149	33.844%	94.87	33.7%	0.1048	0.867
PD50604	3007	0.864	1621.123	53.912%	59.209	50.378%	0.28491	0.748
PD50605	4456	0.909	1912.764	42.926%	67.416	41.701%	0.18373	0.81
PD50606	6368	0.937	2293.72	36.019%	82.645	34.986%	0.13322	0.876
PD50607	3841	0.891	1796.651	46.776%	63.733	45.324%	0.21299	0.775
PD50610	2759	0.867	1526.191	55.317%	53.51	49.823%	0.29405	0.752
PD50612	7145	0.934	2543.561	35.599%	89.433	35.86%	0.11922	0.851
PD50613	3676	0.87	1870.57	50.886%	68.369	49.331%	0.25036	0.742
PD50614	2918	0.862	1591.51	54.541%	56.254	50.632%	0.28485	0.731
PD50616	4654	0.9	2035.094	43.728%	73.105	43.689%	0.18183	0.785
PD50618	4283	0.905	1922.437	44.885%	67.995	42.606%	0.19224	0.812
PD50619	4736	0.909	2025.662	42.772%	71.242	41.614%	0.18144	0.809
PD50620	6545	0.934	2352.598	35.945%	82.498	35.651%	0.12401	0.857
PD50621	7371	0.943	2431.748	32.991%	90.445	33.345%	0.10791	0.887
PD50622	6678	0.917	2578.575	38.613%	96.711	39.79%	0.14134	0.83
PD50625	4862	0.915	2026.32	41.677%	71.022	40.39%	0.16966	0.822
PD50627	4447	0.915	1827.291	41.09%	63.617	40.287%	0.17145	0.815
PD50629	5344	0.92	2109.414	39.473%	73.915	39.268%	0.14663	0.822
PD50630	7630	0.944	2535.206	33.227%	88.598	33.029%	0.10605	0.877
PD50632	5341	0.923	2104.193	39.397%	75.088	38.458%	0.15244	0.844
PD50634	3500	0.882	1721.781	49.194%	61.102	47.124%	0.24049	0.76
PD50637	5570	0.925	2155.967	38.707%	74.287	37.927%	0.14633	0.834
PD50638	7775	0.896	3063.932	39.407%	126.934	44.329%	0.1493	0.789
PD51175	4518	0.898	1999.956	44.266%	72.937	44.077%	0.18674	0.789
PD51176	3660	0.893	1756.477	47.991%	64.401	45.048%	0.22562	0.805
PD51177	6956	0.939	2406.157	34.591%	85.659	34.39%	0.11986	0.872
PD51178	8883	0.951	2758.562	31.054%	96.13	30.866%	0.09586	0.893
PD51179	4568	0.902	1992.276	43.614%	71.811	43.114%	0.18038	0.797
PD51180	3838	0.889	1855.042	48.334%	65.581	45.819%	0.22402	0.778
PD51181	5784	0.928	2207.357	38.163%	77.01	37.282%	0.14273	0.846
PD51182	2923	0.882	1488.135	50.911%	51.689	47.199%	0.26531	0.765
PD51183	3149	0.856	1700.487	54.001%	60.362	51.792%	0.28075	0.703
PD51184	7632	0.94	2588.39	33.915%	92.272	34.011%	0.10821	0.873
PD51185	4749	0.909	2055.348	43.28%	72.068	41.778%	0.18172	0.81
PD51186	4271	0.896	1959.872	45.888%	68.631	44.49%	0.20469	0.779
PD51187	9020	0.944	2858.409	31.69%	107.021	33.018%	0.09612	0.884
PD51188	7083	0.939	2451.591	34.612%	86.253	34.461%	0.1181	0.867
PD51189	5113	0.92	2049.385	40.082%	72.252	39.283%	0.15775	0.83
PD51190	2663	0.849	1538.126	57.759%	54.128	52.942%	0.31646	0.707
PD51191	5613	0.923	2152.155	38.342%	76.004	38.458%	0.14403	0.83
PD51192	5936	0.931	2232.752	37.614%	80.754	36.602%	0.14166	0.864
PD51194	5277	0.921	2148.608	40.716%	76.034	39.006%	0.16138	0.843
PD51195	6769	0.93	2504.141	36.994%	91.894	36.786%	0.1341	0.861
PD51196	4719	0.912	1994.1	42.257%	70.529	41.013%	0.17157	0.819
PD51197	3585	0.88	1739.833	48.531%	61.742	47.498%	0.22654	0.745
PD51198	3569	0.891	1715.695	48.072%	61.882	45.388%	0.23056	0.793
PD51199	7318	0.935	2628.44	35.917%	94.966	35.401%	0.124	0.87
PD51205	4380	0.893	2062.789	47.096%	73.8	45.02%	0.2066	0.789
PD51206	5009	0.917	2079.849	41.522%	72.957	39.924%	0.16664	0.83
PD51207	7484	0.943	2477.117	33.099%	88.436	33.303%	0.10774	0.878
PD51209	9526	0.948	2940.41	30.867%	105.641	31.852%	0.09061	0.884
PD51210	6811	0.926	2541.018	37.308%	89.597	37.666%	0.13099	0.835
PD51211	5913	0.923	2250.825	38.066%	79.768	38.465%	0.13972	0.828
PD51213	9008	0.941	2979.531	33.076%	104.824	33.774%	0.1005	0.865
PD51214	5191	0.915	2089.937	40.261%	74.28	40.274%	0.15937	0.816
