Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.871	12180	1.0	27.956	0.23%	3.456	0.245%	1e-05	1.0
SP.Syn.Abst.872	6159	1.0	21.376	0.347%	2.553	0.357%	1e-05	1.0
SP.Syn.Abst.873	5929	1.0	23.668	0.399%	2.866	0.416%	2e-05	1.0
SP.Syn.Abst.874	10737	1.0	25.15	0.234%	2.954	0.237%	1e-05	1.0
SP.Syn.Abst.875	8318	1.0	23.68	0.285%	2.851	0.296%	1e-05	1.0
SP.Syn.Abst.876	9289	1.0	23.389	0.252%	2.795	0.26%	1e-05	1.0
SP.Syn.Abst.877	5080	1.0	22.667	0.446%	2.7	0.454%	3e-05	1.0
SP.Syn.Abst.878	17950	1.0	28.742	0.16%	3.632	0.174%	0.0	1.0
SP.Syn.Abst.879	10149	1.0	27.571	0.272%	3.298	0.281%	1e-05	1.0
SP.Syn.Abst.880	10035	1.0	22.714	0.226%	2.753	0.233%	1e-05	1.0
SP.Syn.Abst.881	5406	1.0	24.245	0.448%	2.911	0.464%	2e-05	1.0
SP.Syn.Abst.882	8724	1.0	24.278	0.278%	2.939	0.286%	1e-05	1.0
SP.Syn.Abst.883	19406	1.0	29.262	0.151%	3.649	0.162%	0.0	1.0
SP.Syn.Abst.884	9853	1.0	25.347	0.257%	3.039	0.266%	1e-05	1.0
SP.Syn.Abst.885	13972	1.0	22.423	0.16%	2.758	0.166%	0.0	1.0
SP.Syn.Abst.886	17682	1.0	27.247	0.154%	3.521	0.172%	0.0	1.0
SP.Syn.Abst.887	8246	1.0	23.853	0.289%	2.858	0.296%	1e-05	1.0
SP.Syn.Abst.888	15190	1.0	26.632	0.175%	3.297	0.187%	0.0	1.0
SP.Syn.Abst.889	6670	1.0	24.85	0.373%	2.875	0.37%	2e-05	1.0
SP.Syn.Abst.890	7415	1.0	20.868	0.281%	2.518	0.29%	1e-05	1.0
SP.Syn.Abst.891	15978	1.0	26.089	0.163%	3.163	0.171%	0.0	1.0
SP.Syn.Abst.892	6726	1.0	23.092	0.343%	2.809	0.359%	1e-05	1.0
SP.Syn.Abst.893	9808	1.0	24.556	0.25%	2.963	0.255%	1e-05	1.0
SP.Syn.Abst.894	4291	1.0	21.495	0.501%	2.675	0.535%	3e-05	1.0
SP.Syn.Abst.895	6018	1.0	24.048	0.4%	2.832	0.405%	2e-05	1.0
SP.Syn.Abst.896	13365	1.0	25.987	0.194%	3.15	0.202%	0.0	1.0
SP.Syn.Abst.897	16782	1.0	23.185	0.138%	2.808	0.144%	0.0	1.0
SP.Syn.Abst.898	2576	1.0	23.465	0.911%	2.842	0.91%	0.0001	1.0
SP.Syn.Abst.899	8867	1.0	23.303	0.263%	2.86	0.274%	1e-05	1.0
SP.Syn.Abst.900	6493	1.0	26.978	0.415%	3.162	0.42%	2e-05	1.0
